chain,protocol,protocol_version,pool_name,token_1,token_1_balance,token_2,token_2_balance,TVL,TVL-(1+2)
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,WETH.e-WAVAX,WETH.e,6774.593469053516805787,WAVAX,473769.116907230878311475,24854587.191302806,-8277708.263917819
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,WETH.e-WAVAX,WETH.e,6774.593469053516805787,WAVAX,473769.116907230878311475,24854587.191302806,-8277708.263917819
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,WAVAX-USDT.e,WAVAX,111133.807644515108554928,USDT.e,2913718.004251,5827330.857030049,-70569076.89989871
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,WBTC.e-WAVAX,WBTC.e,38.28684313,WAVAX,34184.747276986962311903,1793379.415178077,-28728775.259872373
Avalanche,Trader Joe,V1,WAVAX-USDT.e,WAVAX,111133.807644515108554928,USDT.e,2913718.004251,5827330.857030049,-70569076.89989871
Avalanche,Trader Joe,V1,WETH.e-WAVAX,WETH.e,6774.593469053516805787,WAVAX,473769.116907230878311475,24854587.191302806,-8277708.263917819
Avalanche,Trader Joe,V1,JOE-WAVAX,JOE,17079706.149841744218138802,WAVAX,202254.320492422586427318,10605292.244765662,-1431721605.2208989
Avalanche,Trader Joe,V1,WBTC.e-WAVAX,WBTC.e,38.28684313,WAVAX,34184.747276986962311903,1793379.415178077,-28728775.259872373
